"catalogNumber","recordedBy_primary","recordedBy_secondary","recordedBy_tertiary"
"SUWS010935","Collinson, Keith","",""
"SUWS010936","La Liberte, Paul","",""
"SUWS010938","Shaw"," Brashier",""
"SUWS010939","Thomson, John W., Jr.","",""
"SUWS010940","Demaske, D.","",""
"SUWS010941","Koch, Rudy G.","",""
"SUWS010942","Dabydeen, Simon","",""
"SUWS010944","Thomson, John W., Jr.","",""
"SUWS010945","Thomson, John W., Jr.","",""
"SUWS010946","Hall, Norma","",""
"SUWS010948","Martin, Bonita","",""
"SUWS010949","Koch, Rudy G.","",""
"SUWS010950","Koch, Rudy G.","",""
"SUWS010951","Thomson, John W., Jr.","",""
"SUWS010952","Wassgren"," Brashier",""
"SUWS010955","Thomson, John W., Jr."," Smith, C. W.",""
"SUWS010956","Koch, Rudy G.","",""
"SUWS010957","McGovern, Scott","",""
"SUWS010958","Vansteenburg, Jeffrey B.","",""
"SUWS010959","Brost, Mike","",""
"SUWS010961","Hansen, Perky","",""
"SUWS010962","Hall, Norma","",""
"SUWS010963","Suneson, Verna","",""
"SUWS010964","Thomson, John W., Jr.","",""
"SUWS010965","Castle, R.","",""
"SUWS010966","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS010967","Castle, R.","",""
"SUWS010968","Thomson, John W., Jr.","",""
"SUWS010969","Thomson, John W., Jr.","",""
"SUWS010970","Koch, Rudy G.","",""
"SUWS010971","Suneson, Verna","",""
"SUWS010972","Brashier"," Smith",""
"SUWS010973","Brashier"," Walvoord",""
"SUWS010977","Brashier"," Walvoord",""
"SUWS010978","Hall, Norma","",""
"SUWS010979","Suneson, Verna","",""
"SUWS010980","Castle, R.","",""
"SUWS010981","Hall, Norma","",""
"SUWS010983","Thomson, John W., Jr.","",""
"SUWS010984","Thomson, John W., Jr.","",""
"SUWS010994","Brashier"," Ruff",""
"SUWS010995","Castle, R.","",""
"SUWS010996","Koch, Rudy G.","",""
"SUWS010997","Hall, Norma","",""
"SUWS010998","Suneson, Verna","",""
"SUWS010999","Brashier"," Janowski",""
"SUWS011000","Brashier"," Thoren",""
"SUWS011001","Castle, R.","",""
"SUWS011002","Thomson, John W., Jr.","",""
"SUWS011003","Castle, R.","",""
"SUWS011004","","",""
"SUWS011005","G., R. A.","",""
"SUWS011006","Koch, Rudy G.","",""
"SUWS011007","Purtell, Harriet M.","",""
"SUWS011008","Suneson, Verna","",""
"SUWS011009","Brost, Mike","",""
"SUWS011012","Anderson, Arne","",""
"SUWS011014","Davidson, Donald W."," Collins, Matt",""
"SUWS011016","Thomson, John W., Jr.","",""
"SUWS011017","Hendrickson, Sue","",""
"SUWS011018","Dabydeen, Simon","",""
"SUWS011020","Koch, Rudy G.","",""
"SUWS011021","Team 6","",""
"SUWS011022","Brost, Mike","",""
"SUWS011023","Ojanen, Joanne M.","",""
"SUWS011024","Thomson, John W., Jr.","",""
"SUWS011026","Hall, Norma","",""
"SUWS011030","Koch, Rudy G.","",""
"SUWS011031","Team 4","",""
"SUWS011032","Team 6","",""
"SUWS011033","Swanson, Denny","",""
"SUWS011034","Thomson, John W., Jr."," Smith, C. W.",""
"SUWS011035","Thomson, John W., Jr.","",""
"SUWS011036","Bruederle, Leo P.","",""
"SUWS011038","Koch, Rudy G.","",""
"SUWS011039","Koch, Rudy G.","",""
"SUWS011040","Castle, R.","",""
"SUWS011041","Schmidt, John E.","",""
"SUWS011042","Anderson, Jason","",""
"SUWS011043","Davidson, Donald W."," Collins, Matt",""
"SUWS011044","Davidson, Donald W."," Collins, Matt",""
"SUWS011045","Hansen, Perky","",""
"SUWS011047","Brashier"," Grage",""
"SUWS011048","Brashier"," Gall",""
"SUWS011049","Olson, Patti","",""
"SUWS011050","Brost, Mike","",""
"SUWS011051","Staupe, Jane","",""
"SUWS011061","Suneson, Verna","",""
"SUWS011062","Hall, Norma","",""
"SUWS011067","Brost, Mike","",""
"SUWS011069","Castle, R.","",""
"SUWS011070","Brashier"," Walvoord",""
"SUWS011071","Brashier"," Grage",""
"SUWS011072","Brashier"," Gunderson",""
"SUWS011073","Thomson, John W., Jr.","",""
"SUWS011074","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS011075","Thomson, John W., Jr.","",""
"SUWS011076","Brashier"," Walvoord",""
"SUWS011077","Thomson, John W., Jr.","",""
"SUWS011078","Brashier"," Grage",""
"SUWS011079","Stackler, Susan","",""
"SUWS011081","Davidson, Donald W."," Collins, Matt",""
"SUWS011082","Davidson, Donald W."," Collins, Matt",""
"SUWS011083","Brashier"," Janowski",""
"SUWS011084","Brashier"," Smith",""
"SUWS011085","Koch, Rudy G.","",""
"SUWS011088","Thomson, John W., Jr.","",""
"SUWS011089","Koch, Rudy G.","",""
"SUWS011090","Brashier"," Walvoord",""
"SUWS011091","Brashier"," Gall",""
"SUWS011092","Brashier"," Grage",""
"SUWS011093","Stackler, Susan","",""
"SUWS011094","Thomson, John W., Jr.","",""
"SUWS011101","Thomson, John W., Jr.","",""
"SUWS011102","Koch, Rudy G.","",""
"SUWS011104","Brashier"," Romans",""
"SUWS011105","Brashier"," Romans",""
"SUWS011112","Thomson, John W., Jr.","",""
"SUWS011113","Brashier"," Gunderson",""
"SUWS011114","Stackler, Susan","",""
"SUWS011115","Brashier"," Thoren",""
"SUWS011116","Thomson, John W., Jr.","",""
"SUWS011117","Thomson, John W., Jr.","",""
"SUWS011118","Brashier"," Romans",""
"SUWS011119","Anderson, D."," Johnson, R."," Castle, R."
"SUWS011120","","",""
"SUWS011121","Sima, Bessie R.","",""
"SUWS011122","C., E. A.","",""
"SUWS011123","Hjerleid"," Brashier",""
"SUWS011124","Brashier"," Parrish",""
"SUWS011125","Brashier"," Janowski",""
"SUWS011126","Brashier"," Walvoord",""
"SUWS011127","Thomson, John W., Jr.","",""
"SUWS011128","Cornell"," Brashier",""
"SUWS011129","Koch, Rudy G.","",""
"SUWS011130","Brashier"," Romans",""
"SUWS011132","Mendenhall, Paula M.","",""
"SUWS011133","Thomson, John W., Jr.","",""
"SUWS011134","Thomson, John W., Jr.","",""
"SUWS011135","Olson, Patti","",""
"SUWS011136","Thomson, John W., Jr.","",""
"SUWS011137","Bruederle, Leo P.","",""
"SUWS011138","Thomson, John W., Jr.","",""
"SUWS011143","Thomson, John W., Jr.","",""
"SUWS011144","Thomson, John W., Jr.","",""
"SUWS011148","C., E. A.","",""
"SUWS011150","Bucholdt, Norma","",""
"SUWS011151","Thomson, John W., Jr.","",""
"SUWS011152","","",""
"SUWS011154","Brashier"," Romans",""
"SUWS011156","Leitner, Lawrence A.","",""
"SUWS011157","Lesperance, Patrici","",""
"SUWS011160","Thomson, John W., Jr.","",""
"SUWS011161","Romans"," Brashier",""
"SUWS011162","Koch, Rudy G.","",""
"SUWS011163","Thomson, John W., Jr.","",""
"SUWS011164","Thomson, John W., Jr.","",""
"SUWS011165","Thomson, John W., Jr.","",""
"SUWS011167","Koch, Rudy G.","",""
"SUWS011173","Cornell"," Brashier",""
"SUWS011174","Hein, Elizabeth","",""
"SUWS011177","Cherf"," Brashier",""
"SUWS011178","Barnard"," Brashier",""
"SUWS011179","Dabydeen, Simon","",""
"SUWS011180","Staupe, Jane","",""
"SUWS011181","Holden"," Brashier",""
"SUWS011183","Cornell"," Brashier",""
"SUWS011184","C., E. A.","",""
"SUWS011185","Thomson, John W., Jr.","",""
"SUWS011186","Koch, Rudy G.","",""
"SUWS011187","Holden"," Brashier",""
"SUWS011188","Koch, Rudy G.","",""
"SUWS011189","Thomson, John W., Jr.","",""
"SUWS011190","Koch, Rudy G.","",""
"SUWS011191","Koch, Rudy G.","",""
"SUWS011192","Koch, Rudy G.","",""
"SUWS011195","Castle, R.","",""
"SUWS011196","Thomson, John W., Jr.","",""
"SUWS011197","Thomson, John W., Jr.","",""
"SUWS011198","Barnard"," Brashier",""
"SUWS011199","Hjerleid"," Brashier",""
"SUWS011200","Holden"," Brashier",""
"SUWS011201","Brashier"," Janowski",""
"SUWS011202","Brashier"," Cherf",""
"SUWS011203","Koch, Rudy G.","",""
"SUWS011207","Koch, Rudy G.","",""
"SUWS011208","Thomson, John W., Jr.","",""
"SUWS011209","Castle, R.","",""
"SUWS011210","Koch, Rudy G.","",""
"SUWS011211","Brashier"," Romans",""
"SUWS011212","Brashier"," Romans",""
"SUWS011213","Barnard"," Brashier",""
"SUWS011214","Castle, R.","",""
"SUWS011216","Thomson, John W., Jr.","",""
"SUWS011217","Koch, Rudy G.","",""
"SUWS011218","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS011219","Thomson, John W., Jr.","",""
"SUWS011220","Thomson, John W., Jr.","",""
"SUWS011221","Thomson, John W., Jr.","",""
"SUWS011222","Thomson, John W., Jr.","",""
"SUWS011223","Thomson, John W., Jr.","",""
"SUWS011224","Castle, R.","",""
"SUWS011225","Sima, Bessie R.","",""
"SUWS011227","Cornell"," Brashier",""
"SUWS011228","Stackler, Susan","",""
"SUWS011229","Holden"," Brashier",""
"SUWS011230","Castle, R.","",""
"SUWS011232","Koch, Rudy G.","",""
"SUWS011234","Koch, Rudy G.","",""
"SUWS011236","Koch, Rudy G.","",""
"SUWS011237","Koch, Rudy G.","",""
"SUWS011238","Thomson, John W., Jr."," Smith, C. W.",""
"SUWS011239","Brashier"," Grage",""
"SUWS011240","Koch, Rudy G.","",""
"SUWS011241","Brashier"," Romans",""
"SUWS011242","Cornell"," Brashier",""
"SUWS011243","Holden"," Brashier",""
"SUWS011244","Thomson, John W., Jr.","",""
"SUWS011245","Brashier"," Thoren",""
"SUWS011247","Koch, Rudy G.","",""
"SUWS011248","Thomson, John W., Jr.","",""
"SUWS011255","Martin, Bonita","",""
"SUWS011256","Olson, Patti","",""
"SUWS011257","Castle, R.","",""
"SUWS011258","Thomson, John W., Jr.","",""
"SUWS011259","Castle, R.","",""
"SUWS011261","Thomson, John W., Jr.","",""
"SUWS011263","Brashier"," Grage",""
"SUWS011264","Cornell"," Brashier",""
"SUWS011265","Hjerleid"," Brashier",""
"SUWS011266","Parrish"," Brashier",""
"SUWS011267","Parrish"," Brashier",""
"SUWS011268","Knuf, Phillip","",""
"SUWS011269","Cornell"," Brashier",""
"SUWS011270","Castle, R.","",""
"SUWS011271","Brashier"," Ruff",""
"SUWS011272","Janowski","",""
"SUWS011273","Brashier"," Romans",""
"SUWS011274","Walvoord"," Brashier",""
"SUWS011275","Thoren"," Brashier",""
"SUWS011276","Brashier"," Romans",""
"SUWS011277","Thomson, John W., Jr.","",""
"SUWS011278","Thomson, John W., Jr.","",""
"SUWS011279","Koch, Rudy G.","",""
"SUWS011280","Thomson, John W., Jr.","",""
"SUWS011281","McC., N. V."," C., E. A.",""
"SUWS011283","Sohmer, S. H.","",""
"SUWS011284","Thomson, John W., Jr.","",""
"SUWS011285","Brashier"," Romans",""
"SUWS011288","Gunderson"," Brashier",""
"SUWS011290","Olson, Patti","",""
"SUWS011291","Cherf"," Brashier",""
"SUWS011292","Hjerleid"," Brashier",""
"SUWS011293","Thomson, John W., Jr.","",""
"SUWS011294","Cornell"," Brashier",""
"SUWS011296","Brashier"," Walvoord",""
"SUWS011297","Thomson, John W., Jr.","",""
"SUWS011298","Thomson, John W., Jr.","",""
"SUWS011299","Markon, Kathleen","",""
"SUWS011300","Sima, Bessie R.","",""
"SUWS011301","Thomson, John W., Jr.","",""
"SUWS011302","Brashier"," Romans",""
"SUWS011303","Thomson, John W., Jr.","",""
"SUWS011304","Brashier"," Romans",""
"SUWS011305","Stackler, Susan","",""
"SUWS011306","C., E. A."," McC., N. V.",""
"SUWS011307","Thomson, John W., Jr.","",""
"SUWS011309","Hjerleid"," Brashier",""
"SUWS011310","Heim, John A.","",""
"SUWS011311","Stackler, Susan","",""
"SUWS011314","Koch, Rudy G.","",""
"SUWS011316","Hjerleid"," Brashier",""
"SUWS011317","Cornell"," Brashier",""
"SUWS011318","Koch, Rudy G.","",""
"SUWS011319","Brashier"," Romans",""
"SUWS011320","Brashier"," Romans",""
"SUWS011321","C., E. A."," McC., N. V.",""
"SUWS011322","Castle, R.","",""
"SUWS011323","Castle, R.","",""
"SUWS011324","Cherf"," Brashier",""
"SUWS011325","Valaskey"," Brashier",""
"SUWS011326","Hjerleid"," Brashier",""
"SUWS011327","Brashier"," Parrish",""
"SUWS011328","Brashier"," Romans",""
"SUWS011329","Olson, Patti","",""
"SUWS011331","Thomson, John W., Jr.","",""
"SUWS011332","Muller"," Brashier",""
"SUWS011333","Cornell"," Brashier",""
"SUWS011334","Koch, Rudy G.","",""
"SUWS011335","Hicks, James"," Brashier",""
"SUWS011336","Brashier"," Grage",""
"SUWS011337","Brashier"," Romans",""
"SUWS011338","Koch, Rudy G.","",""
"SUWS011339","Castle, R.","",""
"SUWS011341","Koch, Rudy G.","",""
"SUWS011342","Thomson, John W., Jr.","",""
"SUWS011343","Dabydeen, Simon","",""
"SUWS011345","Bjork, Ann","",""
"SUWS011346","Koch, Rudy G.","",""
"SUWS011347","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS011349","Brashier"," Janowski",""
"SUWS011350","Koch, Rudy G.","",""
"SUWS011351","Brashier"," Smith",""
"SUWS011352","Castle, R.","",""
"SUWS011354","Evans, Lisa","",""
"SUWS011361","Thomson, John W., Jr.","",""
"SUWS011362","Martin, Bonita","",""
"SUWS011363","Mortensen, Sara","",""
"SUWS011364","Castle, R.","",""
"SUWS011365","Thoren"," Brashier",""
"SUWS011366","Brashier"," Romans",""
"SUWS011367","Brashier"," Cherf",""
"SUWS011368","Brashier"," Valaskey",""
"SUWS011369","Janowski"," Brashier",""
"SUWS011374","Pellett, T. D."," Smith, W. A.",""
"SUWS011375","Koch, Rudy G.","",""
"SUWS011378","Thomson, John W., Jr.","",""
"SUWS011379","Olson, Patti","",""
"SUWS011380","","",""
"SUWS011381","Thomson, John W., Jr.","",""
"SUWS011382","Koch, Rudy G.","",""
"SUWS011383","Thomson, John W., Jr.","",""
"SUWS011384","Thomson, John W., Jr.","",""
"SUWS011385","Brashier"," Romans",""
"SUWS011386","Brashier"," Romans",""
"SUWS011387","Brashier"," Romans",""
"SUWS011388","Brashier"," Romans",""
"SUWS011389","Brashier"," Romans",""
"SUWS011390","Castle, R.","",""
"SUWS011391","Brashier"," Romans",""
"SUWS011392","Koch, Rudy G.","",""
"SUWS011393","Brashier"," Romans",""
"SUWS011394","Koch, Rudy G.","",""
"SUWS011395","Brashier"," Romans",""
"SUWS011396","Brashier"," Romans",""
"SUWS011397","Staupe, Jane","",""
"SUWS011398","Thomson, John W., Jr.","",""
"SUWS011400","Castle, R.","",""
"SUWS011401","Brashier"," Romans",""
"SUWS011402","Thomson, John W., Jr.","",""
"SUWS011403","Tendrup, Lynn S.","",""
"SUWS011404","Koch, Rudy G.","",""
"SUWS011405","Thomson, John W., Jr.","",""
"SUWS011406","Romans"," Brashier",""
"SUWS011407","Jones"," Brashier",""
"SUWS011408","Romans"," Brashier",""
"SUWS011409","Johnson, R."," Castle, R.",""
"SUWS011410","Brashier"," Romans",""
"SUWS011411","Brashier"," Romans",""
"SUWS011412","Hein, Elizabeth","",""
"SUWS011414","Castle, R.","",""
"SUWS011415","Brashier"," Romans",""
"SUWS011416","Thomson, John W., Jr.","",""
"SUWS011417","Thomson, John W., Jr.","",""
"SUWS011418","Koch, Rudy G.","",""
"SUWS011419","Koch, Rudy G.","",""
"SUWS011420","Thomson, John W., Jr.","",""
"SUWS011420b","Thomson, John W., Jr.","",""
"SUWS011421","Brashier"," Romans",""
"SUWS011422","Koch, Rudy G.","",""
"SUWS011423","Brashier"," Romans",""
"SUWS011424","Brashier"," Romans",""
"SUWS011425","Mackensen"," Brashier",""
"SUWS011426","Brashier"," Romans",""
"SUWS011428","Brashier"," Romans",""
"SUWS011429","Brashier"," Romans",""
"SUWS011430","Brashier"," Romans",""
"SUWS011431","Brashier"," Romans",""
"SUWS011434","Thomson, John W., Jr.","",""
"SUWS011435","Castle, R.","",""
"SUWS011436","Castle, R.","",""
"SUWS011437","Lunda, Judy","",""
"SUWS011438","Brashier"," Romans",""
"SUWS011440","Thomson, John W., Jr.","",""
"SUWS011442","Brashier"," Walvoord",""
"SUWS011443","Brashier"," Grage",""
"SUWS011444","Bartholomew, L.","",""
"SUWS011445","Tendrup, Lynn S.","",""
"SUWS011448","Castle, R.","",""
"SUWS011449","Demaske, D.","",""
"SUWS011450","Ziegler, S. R."," Leykom, M. F.",""
"SUWS011451","Koch, Rudy G.","",""
"SUWS011452","Hendrickson, Sue","",""
"SUWS011453","Thomson, John W., Jr.","",""
"SUWS011454","Thomson, John W., Jr.","",""
"SUWS011455","Davidson, Donald W."," Collins, Matt",""
"SUWS011456","Davidson, Donald W."," Collins, Matt",""
"SUWS011457","Suneson, Verna","",""
"SUWS011458","Castle, R.","",""
"SUWS011461","Micke, Brian","",""
"SUWS011462","Castle, R.","",""
"SUWS011463","Hall, Norma","",""
"SUWS011465","Stackler, Susan","",""
"SUWS011467","Koch, Rudy G.","",""
"SUWS011468","Brashier"," Smith",""
"SUWS011469","Brashier"," Valaskey",""
"SUWS011470","Brashier"," Gunderson",""
"SUWS011471","Brost, Mike","",""
"SUWS011474","Nontelle, Deon M.","",""
"SUWS011475","Castle, R.","",""
"SUWS011477","McGovern, Scott","",""
"SUWS011478","Munich, Robert A.","",""
"SUWS011479","Davidson, Donald W."," Collins, Matt",""
"SUWS011481","Castle, R.","",""
"SUWS011482","Hjerleid"," Brashier",""
"SUWS011482b","Davidson, Donald W."," Collins, Matt",""
"SUWS011483","Castle, R.","",""
"SUWS011485","Hall, Norma","",""
"SUWS011486","Hall, Norma","",""
"SUWS011486b","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS011488","Ziegler, S. R."," Leykom, M. F.",""
"SUWS011490","Koch, Rudy G.","",""
"SUWS011491","Koch, Rudy G.","",""
"SUWS011492","Koch, Rudy G.","",""
"SUWS011493","Thomson, John W., Jr.","",""
"SUWS011494","Tendrup, Lynn S.","",""
"SUWS011495","Thomson, John W., Jr.","",""
"SUWS011496","Thomson, John W., Jr.","",""
"SUWS011497","","",""
"SUWS011498","","",""
"SUWS011499","Koch, Rudy G.","",""
"SUWS011500","Koch, Rudy G.","",""
"SUWS011501","Castle, R.","",""
"SUWS011502","Charboneau, E.","",""
"SUWS011503","Koch, Rudy G.","",""
"SUWS011504","Dabydeen, Simon","",""
"SUWS011505","Hansen, Perky","",""
"SUWS011506","Munich, Robert A.","",""
"SUWS011507","Koch, Rudy G.","",""
"SUWS011508","Thomson, John W., Jr.","",""
"SUWS011509","Hall, Norma","",""
"SUWS011510","Thomson, John W., Jr.","",""
"SUWS011511","Tendrup, Lynn S.","",""
"SUWS011512","Suneson, Verna","",""
"SUWS011513","G., R.A.F","",""
"SUWS011514","Munich, Robert A.","",""
"SUWS011515","Swanson, Steven D.","",""
"SUWS011516","Olson, Patti","",""
"SUWS011517","Thomson, John W., Jr.","",""
"SUWS011518","Dabydeen, Simon","",""
"SUWS011519","Hall, Norma","",""
"SUWS011520","Suneson, Verna","",""
"SUWS011521","","",""
"SUWS011522","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS011523","Davidson, Donald W."," Collins, Matt",""
"SUWS011524","Davidson, Donald W."," Collins, Matt",""
"SUWS011526","Hall, Norma","",""
"SUWS011527","Suneson, Verna","",""
"SUWS011528","Hall, Norma","",""
"SUWS011529","","",""
"SUWS011530","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS011531","Suneson, Verna","",""
"SUWS011532","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS011533","G., R. A.","",""
"SUWS011534","Koch, Rudy G.","",""
"SUWS011535","Koch, Rudy G.","",""
"SUWS011537","Brashier"," Romans",""
"SUWS011538","Koch, Rudy G.","",""
"SUWS011543","Koch, Rudy G.","",""
"SUWS011544","Thomson, John W., Jr.","",""
"SUWS011545","Cornell"," Brashier",""
"SUWS011546","Brashier"," Romans",""
"SUWS011547","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS011548","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS011549","Thomson, John W., Jr.","",""
"SUWS011550","Thomson, John W., Jr.","",""
"SUWS011551","Leitner, Lawrence A.","",""
"SUWS011552","Staupe, Jane","",""
"SUWS011553","Brashier"," Romans",""
"SUWS011554","Brashier"," Romans",""
"SUWS011555","Cornell"," Brashier",""
"SUWS011557","Mackensen"," Brashier",""
"SUWS011558","Holmgren"," Brashier",""
"SUWS011559","Anderson, D."," Castle, R.",""
"SUWS011560","Brashier"," Romans",""
"SUWS011561","Brashier"," Romans",""
"SUWS011562","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS011563","Romans"," Brashier",""
"SUWS011564","Brashier"," Valaskey",""
"SUWS011565","Cornell"," Brashier",""
"SUWS011566","Holden"," Brashier",""
"SUWS011567","Collinson, Keith","",""
"SUWS011569","Koch, Rudy G.","",""
"SUWS011572","Holden"," Brashier",""
"SUWS011573","Sima, Bessie R.","",""
"SUWS011574","Barnard"," Brashier",""
"SUWS011575","Thomson, John W., Jr.","",""
"SUWS011576","Brashier"," Romans",""
"SUWS011577","Brashier"," Parrish",""
"SUWS011578","Mackensen"," Brashier",""
"SUWS011579","Brashier"," Romans",""
"SUWS011580","Hjerleid"," Brashier",""
"SUWS011581","Steinberg, Tom","",""
"SUWS011582","Brashier"," Romans",""
"SUWS011584","Thomson, John W., Jr.","",""
"SUWS011585","Koch, Rudy G.","",""
"SUWS011587","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS011588","Haglund, Anabelle","",""
"SUWS011590","Cornell"," Brashier",""
"SUWS011591","Hjerleid"," Brashier",""
"SUWS011592","Shugar, Helen","",""
"SUWS011593","Thomson, John W., Jr.","",""
"SUWS011594","Koch, Rudy G.","",""
"SUWS011595","Koch, Rudy G.","",""
"SUWS011598","Brashier"," Romans",""
"SUWS011599","Thomson, John W., Jr.","",""
"SUWS011600","Thomson, John W., Jr.","",""
"SUWS011601","Thomson, John W., Jr.","",""
"SUWS011602","Sima, Bessie R.","",""
"SUWS011604","Collinson, Keith","",""
"SUWS011605","Brashier"," Thoren",""
"SUWS011606","Ziegler, S. R.","",""
"SUWS011607","Holden"," Brashier",""
"SUWS011608","Castle, R.","",""
"SUWS011610","Brashier"," Wassgren",""
"SUWS011611","Castle, R.","",""
"SUWS011612","Koch, Rudy G.","",""
"SUWS011614","Thomson, John W., Jr.","",""
"SUWS011615","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS011616","Castle, R.","",""
"SUWS011617","Cornell"," Brashier",""
"SUWS011618","Hjerleid"," Brashier",""
"SUWS011619","Mackensen"," Brashier",""
"SUWS011620","Thomson, John W., Jr.","",""
"SUWS011621","Holden"," Brashier",""
"SUWS011622","Mackensen"," Brashier",""
"SUWS011623","Holden"," Brashier",""
"SUWS011624","Brashier"," Thoren",""
"SUWS011625","Brashier"," Cherf",""
"SUWS011626","Koch, Rudy G.","",""
"SUWS011627","Thomson, John W., Jr.","",""
