Only_Coords_Specimens_CoordinateTableToPoint.OID,Only_Coords_Specimens_CoordinateTableToPoint.catalogNumber,Only_Coords_Specimens_CoordinateTableToPoint.class,Only_Coords_Specimens_CoordinateTableToPoint.order_,Only_Coords_Specimens_CoordinateTableToPoint.family,Only_Coords_Specimens_CoordinateTableToPoint.scientificName,Only_Coords_Specimens_CoordinateTableToPoint.taxonID,Only_Coords_Specimens_CoordinateTableToPoint.scientificNameAuthorship,Only_Coords_Specimens_CoordinateTableToPoint.genus,Only_Coords_Specimens_CoordinateTableToPoint.specificEpithet,Only_Coords_Specimens_CoordinateTableToPoint.infraspecificEpithet,Only_Coords_Specimens_CoordinateTableToPoint.taxonRank,Only_Coords_Specimens_CoordinateTableToPoint.identifiedBy,Only_Coords_Specimens_CoordinateTableToPoint.dateIdentified,Only_Coords_Specimens_CoordinateTableToPoint.collectedBy,Only_Coords_Specimens_CoordinateTableToPoint.recordNumber,Only_Coords_Specimens_CoordinateTableToPoint.eventDate,Only_Coords_Specimens_CoordinateTableToPoint.year,Only_Coords_Specimens_CoordinateTableToPoint.month,Only_Coords_Specimens_CoordinateTableToPoint.day,Only_Coords_Specimens_CoordinateTableToPoint.startDayOfYear,Only_Coords_Specimens_CoordinateTableToPoint.verbatimEventDate,Only_Coords_Specimens_CoordinateTableToPoint.occurrenceRemarks,Only_Coords_Specimens_CoordinateTableToPoint.habitat,Only_Coords_Specimens_CoordinateTableToPoint.informationWithheld,Only_Coords_Specimens_CoordinateTableToPoint.county,Only_Coords_Specimens_CoordinateTableToPoint.locality,Only_Coords_Specimens_CoordinateTableToPoint.decimalLatitude,Only_Coords_Specimens_CoordinateTableToPoint.decimalLongitude,Only_Coords_Specimens_CoordinateTableToPoint.geodeticDatum,Only_Coords_Specimens_CoordinateTableToPoint.coordinateUncertaintyInMeters,Only_Coords_Specimens_CoordinateTableToPoint.N_latitude,Only_Coords_Specimens_CoordinateTableToPoint.W_longitude,Only_Coords_Specimens_CoordinateTableToPoint.N_latitude_D,Only_Coords_Specimens_CoordinateTableToPoint.W_longitude_D,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceProtocol,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceSources,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceRemarks,Only_Coords_Specimens_CoordinateTableToPoint.minimumElevationInMeters,Only_Coords_Specimens_CoordinateTableToPoint.verbatimElevation,Only_Coords_Specimens_CoordinateTableToPoint.month_fctr,Only_Coords_Specimens_CoordinateTableToPoint.recordedBy_og,Only_Coords_Specimens_CoordinateTableToPoint.coll_gr,Only_Coords_Specimens_CoordinateTableToPoint.DDLat,Only_Coords_Specimens_CoordinateTableToPoint.DDLon,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.OBJECTID,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.Join_Count,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TARGET_FID,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.AREA,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.PERIMETER,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWPNW924_,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWPNW924_I,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DTR,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DIR,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWP,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.RNG,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DIR_ALPHA
903,SUWS013572,Equisetopsida,Brassicales,Brassicaceae,Hesperis matronalis,3837,L.,Hesperis,matronalis,,,,,"Behn, T.",97-13,1997-06-17,1997,6,17,168,1997-06-17,,Partial sun. [Cultivated??],NA,Douglas,Superior. 1609 Hammond Ave.; W side of complex,46.71886,-92.09839,NA,101,46.718860 N, 92.098390 W,46.71886,-92.09839,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Behn, T.",Other Collectors,46.71886,-92.09839,903,1,903,77718721.67,35378.21444,29,28,24914,2,49,14,W
904,SUWS013574,Equisetopsida,Asterales,Campanulaceae,Campanula rapunculoides,2859,L.,Campanula,rapunculoides,,,,,"Behn, T.",97-26,1997-07-29,1997,7,29,210,1997-07-29,,"Shady, clay soil. [Cultivated??]",NA,Douglas,Superior. 1609 Hammond Ave.; W side of complex,46.71886,-92.09839,NA,101,46.718860 N, 92.098390 W,46.71886,-92.09839,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Behn, T.",Other Collectors,46.71886,-92.09839,904,1,904,77718721.67,35378.21444,29,28,24914,2,49,14,W
905,SUWS013579,Equisetopsida,Gentianales,Apocynaceae,Asclepias tuberosa var. interior,12849,(Woodson) Shinners,Asclepias,tuberosa,interior,var.,,,"Behn, T.",97-18,1997-07-07,1997,7,7,188,1997-07-07,,Field; dry soil; sunny.,NA,Burnett,Grantsburg. Crex Meadows [Near Grantsburg],45.84861,-92.64288,NA,5000,45.848610 N, 92.642880 W,45.84861,-92.64288,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Behn, T.",Other Collectors,45.84861,-92.64288,905,1,905,92200865.06,38410.26537,258,257,23918,2,39,18,W
906,SUWS013584,Equisetopsida,Rosales,Ulmaceae,Ulmus americana,5296,L.,Ulmus,americana,,,,,"Behn, T.",97-17,1997-06-17,1997,6,17,168,1997-06-17,,Partial sun. [Cultivated??],NA,Douglas,Superior. 1609 Hammond Ave.; Front of complex,46.71996,-92.09839,NA,101,46.719960 N, 92.098390 W,46.71996,-92.09839,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Behn, T.",Other Collectors,46.71996,-92.09839,906,1,906,77718721.67,35378.21444,29,28,24914,2,49,14,W
907,SUWS013745,Equisetopsida,Pinales,Pinaceae,Abies balsamea,2407,(L.) Mill.,Abies,balsamea,,,,,"Juve, Karla",96:01,1996-10-18,1996,10,18,292,1996-10-18,,"Mixed pine and birch forest, clay soil.",NA,Douglas,Superior. Superior Municipal Forest,46.67545,-92.14871,NA,2848,46.675450 N, 92.148710 W,46.67545,-92.14871,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Juve, Karla",Other Collectors,46.67545,-92.14871,907,1,907,93354961.12,38691.86308,41,40,24814,2,48,14,W
908,SUWS013746,Equisetopsida,Pinales,Pinaceae,Pinus resinosa,4505,Aiton,Pinus,resinosa,,,,,"Juve, Karla",96:02,1996-10-18,1996,10,18,292,1996-10-18,,"Mixed pine and birch forest, clay soil.",NA,Douglas,Superior. Superior Municipal Forest,46.67545,-92.14871,NA,2848,46.675450 N, 92.148710 W,46.67545,-92.14871,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Juve, Karla",Other Collectors,46.67545,-92.14871,908,1,908,93354961.12,38691.86308,41,40,24814,2,48,14,W
909,SUWS013747,Equisetopsida,Asterales,Asteraceae,Sonchus oleraceus,5106,L.,Sonchus,oleraceus,,,,,"Juve, Karla",96:03,1996-09-17,1996,9,17,261,1996-09-17,,"Barren, sandy soil.",NA,Douglas,Superior. Moccasin Mike Rd. [Rd. to Wisconsin Point],46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Juve, Karla",Other Collectors,46.67311,-91.97214,909,1,909,92715991.97,38478.30907,42,41,24813,2,48,13,W
910,SUWS013749,Equisetopsida,Caryophyllales,Caryophyllaceae,Silene vulgaris,5054,(Moench) Garcke,Silene,vulgaris,,,,,"Juve, Karla",96:05,1996-09-17,1996,9,17,261,1996-09-17,,"Barren, sandy soil.",NA,Douglas,Superior. Moccasin Mike Rd. [Rd. to Wisconsin Point],46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Juve, Karla",Other Collectors,46.67311,-91.97214,910,1,910,92715991.97,38478.30907,42,41,24813,2,48,13,W
911,SUWS013752,Equisetopsida,Cornales,Cornaceae,Cornus stolonifera,12933,Michx.,Cornus,stolonifera,,,,,"Juve, Karla",96:08,1996-09-17,1996,9,17,261,1996-09-17,,"Near roadside, among grasses, and sandy soil.",NA,Douglas,Superior. Moccasin Mike Rd. - Road leading out to Wisconsin Point,46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Juve, Karla",Other Collectors,46.67311,-91.97214,911,1,911,92715991.97,38478.30907,42,41,24813,2,48,13,W
912,SUWS013753,Equisetopsida,Apiales,Apiaceae,Angelica atropurpurea,2538,L.,Angelica,atropurpurea,,,,,"Juve, Karla",96:09,1996-09-17,1996,9,17,261,1996-09-17,,"Wet, swampy, area near road; sandy soil.",NA,Douglas,Superior. Wisconsin Point; Moccasin Mike Rd.,46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Juve, Karla",Other Collectors,46.67311,-91.97214,912,1,912,92715991.97,38478.30907,42,41,24813,2,48,13,W
913,SUWS013754,Equisetopsida,Asterales,Asteraceae,Anthemis cotula,2550,L.,Anthemis,cotula,,,,,"Juve, Karla",96:10,1996-09-17,1996,9,17,261,1996-09-17,,"Roadside, sandy soil.",NA,Douglas,Superior. Moccasin Mike Rd. [Rd. to Wisconsin Point],46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Juve, Karla",Other Collectors,46.67311,-91.97214,913,1,913,92715991.97,38478.30907,42,41,24813,2,48,13,W
914,SUWS013755,Equisetopsida,Malpighiales,Salicaceae,Salix X rubens,4964,Schrank (pro sp.),Salix,x rubens,,,"Cochrane, Theodore S.",26Jan2010,"Juve, Karla",96:11,1996-10-24,1996,10,24,298,1996-10-24,,"Open area, clay soil.",NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Juve, Karla",Other Collectors,46.68122,-92.06631,914,1,914,77718721.67,35378.21444,29,28,24914,2,49,14,W
915,SUWS013758,Equisetopsida,Pinales,Pinaceae,Picea glauca,4494,(Moench) Voss,Picea,glauca,,,,,"Juve, Karla",96:14,1996-10-30,1996,10,30,304,1996-10-30,,"Pine forest, clay soil.",NA,Douglas,Superior. Superior Municipal Forest,46.67545,-92.14871,NA,2848,46.675450 N, 92.148710 W,46.67545,-92.14871,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Juve, Karla",Other Collectors,46.67545,-92.14871,915,1,915,93354961.12,38691.86308,41,40,24814,2,48,14,W
916,SUWS013759,Equisetopsida,Solanales,Solanaceae,Solanum dulcamara,8664,L.,Solanum,dulcamara,,,,,"Juve, Karla",96/15,1996-10-30,1996,10,30,304,1996-10-30,,"Grassy area, near side of walking trail; clay soil.",NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Juve, Karla",Other Collectors,46.68122,-92.06631,916,1,916,77718721.67,35378.21444,29,28,24914,2,49,14,W
917,SUWS013760,Equisetopsida,Fabales,Fabaceae,Trifolium aureum,5267,Pollich,Trifolium,aureum,,,,,"Juve, Karla",96:16,1996-09-17,1996,9,17,261,1996-09-17,,Roadside; sandy soil.,NA,Douglas,Superior. Moccasin Mike Rd. [Rd. to Wisconsin Point],46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Juve, Karla",Other Collectors,46.67311,-91.97214,917,1,917,92715991.97,38478.30907,42,41,24813,2,48,13,W
918,SUWS013761,Equisetopsida,Asparagales,Iridaceae,Iris versicolor,3944,L.,Iris,versicolor,,,,,"Juve, Karla",96:17,1996-09-17,1996,9,17,261,1996-09-17,,Swampy area; sandy soil.,NA,Douglas,Superior. Moccasin Mike Rd. [Rd. to Wisconsin Point],46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Juve, Karla",Other Collectors,46.67311,-91.97214,918,1,918,92715991.97,38478.30907,42,41,24813,2,48,13,W
919,SUWS013762,Equisetopsida,Fabales,Fabaceae,Trifolium arvense,5266,L.,Trifolium,arvense,,,,,"Juve, Karla",96:18,1996-09-17,1996,9,17,261,1996-09-17,,Roadside; sandy soil.,NA,Douglas,Superior. Moccasin Mike Rd. [Rd. to Wisconsin Point],46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Juve, Karla",Other Collectors,46.67311,-91.97214,919,1,919,92715991.97,38478.30907,42,41,24813,2,48,13,W
920,SUWS013765,Equisetopsida,Myrtales,Lythraceae,Lythrum salicaria,4168,L.,Lythrum,salicaria,,,,,"Juve, Karla",96:21,1996-09-17,1996,9,17,261,1996-09-17,,"Sandy soil, roadside.",NA,Douglas,Superior. Moccasin Mike Rd. [Rd. to Wisconsin Point],46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Juve, Karla",Other Collectors,46.67311,-91.97214,920,1,920,92715991.97,38478.30907,42,41,24813,2,48,13,W
921,SUWS013767,Equisetopsida,Rosales,Rosaceae,Prunus virginiana var. virginiana,6816,,Prunus,virginiana,virginiana,var.,,,"Juve, Karla",96:24,1996-09-17,1996,9,17,261,1996-09-17,,Sandy soil.,NA,Douglas,Superior. Moccasin Mike Rd. [Rd. to Wisconsin Point],46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Juve, Karla",Other Collectors,46.67311,-91.97214,921,1,921,92715991.97,38478.30907,42,41,24813,2,48,13,W
922,SUWS013768,Equisetopsida,Malpighiales,Salicaceae,Populus tremuloides,4611,Michx.,Populus,tremuloides,,,,,"Juve, Karla",96:22,1996-10-24,1996,10,24,298,1996-10-24,,"Clay soil, mixed forest. Autumn foliage.",NA,Douglas,Superior. Superior Municipal Forest,46.67545,-92.14871,NA,2848,46.675450 N, 92.148710 W,46.67545,-92.14871,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Juve, Karla",Other Collectors,46.67545,-92.14871,922,1,922,93354961.12,38691.86308,41,40,24814,2,48,14,W
923,SUWS013769,Equisetopsida,Asterales,Asteraceae,Ambrosia artemisiifolia,2503,L.,Ambrosia,artemisiifolia,,,,,"Juve, Karla",96:25,1996-09-17,1996,9,17,261,1996-09-17,,Sandy soil; roadside.,NA,Douglas,Superior. Moccasin Mike Rd. [Rd. to Wisconsin Point],46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Juve, Karla",Other Collectors,46.67311,-91.97214,923,1,923,92715991.97,38478.30907,42,41,24813,2,48,13,W
924,SUWS013859,Equisetopsida,Asterales,Asteraceae,Anthemis cotula,2550,L.,Anthemis,cotula,,,,,"Fahrney, Brian",96/21,1996-09-17,1996,9,17,261,1996-09-17,,Sandy soil.,NA,Douglas,Superior. Mocassin Mike Rd. Near Wisconsin Point,46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Fahrney, Brian",Other Collectors,46.67311,-91.97214,924,1,924,92715991.97,38478.30907,42,41,24813,2,48,13,W
925,SUWS013875,Equisetopsida,Pinales,Pinaceae,Pinus strobus,4506,L.,Pinus,strobus,,,,,"Fahrney, Brian",96/9,1996-10-24,1996,10,24,298,1996-10-24,,Pine forest.,NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Fahrney, Brian",Other Collectors,46.68122,-92.06631,925,1,925,77718721.67,35378.21444,29,28,24914,2,49,14,W
926,SUWS013893,Equisetopsida,Pinales,Pinaceae,Pinus banksiana,4501,Lamb.,Pinus,banksiana,,,,,"Fahrney, Brian",96/8,1996-10-24,1996,10,24,298,1996-10-24,,Sandy soil.,NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Fahrney, Brian",Other Collectors,46.68122,-92.06631,926,1,926,77718721.67,35378.21444,29,28,24914,2,49,14,W
927,SUWS013896,Equisetopsida,Pinales,Pinaceae,Pinus resinosa,4505,Aiton,Pinus,resinosa,,,,,"Fahrney, Brian",96/5,1996-09-14,1996,9,14,258,1996-09-14,,Pine forest.,NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Fahrney, Brian",Other Collectors,46.68122,-92.06631,927,1,927,77718721.67,35378.21444,29,28,24914,2,49,14,W
928,SUWS013897,Equisetopsida,Poales,Typhaceae,Typha latifolia,5294,L.,Typha,latifolia,,,,,"Fahrney, Brian",96/4,1996-09-17,1996,9,17,261,1996-09-17,,Marshy.,NA,Douglas,Superior. Moccassin Mike Rd. [Rd. to Wisconsin Point],46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Fahrney, Brian",Other Collectors,46.67311,-91.97214,928,1,928,92715991.97,38478.30907,42,41,24813,2,48,13,W
929,SUWS013898,Equisetopsida,Pinales,Pinaceae,Larix laricina,4014,(Du Roi) K.Koch,Larix,laricina,,,,,"Fahrney, Brian",96/3,1996-09-17,1996,9,17,261,1996-09-17,,Wooded.,NA,Douglas,Superior. Moccasin Mike Rd. [Rd. to Wisconsin Point] [Superior],46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Fahrney, Brian",Other Collectors,46.67311,-91.97214,929,1,929,92715991.97,38478.30907,42,41,24813,2,48,13,W
930,SUWS013929,Equisetopsida,Caryophyllales,Polygonaceae,Polygonella articulata,4570,(L.) Meisn.,Polygonella,articulata,,,,,"Castle, R.",94-78,1994-06-26,1994,6,26,177,1994-06-26,,"Sandy, open area.",NA,Douglas,Lake Nebagamon. 3 miles N of Lake Nebagamon on CTH H,46.55837,-91.69991,NA,2147,46.558370 N, 91.699910 W,46.55837,-91.69991,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Castle, R.","Castle, R.",46.55837,-91.69991,930,1,930,92916091.48,38592.63057,58,57,24711,2,47,11,W
931,SUWS013940,Equisetopsida,Asterales,Asteraceae,Eupatorium perfoliatum var. perfoliatum,3595,L.,Eupatorium,perfoliatum,perfoliatum,var.,,,"Castle, R.",s.n.,1994-07-12,1994,7,12,193,1994-07-12,,Roadside.,NA,Douglas,Near Breitzman Lake; 2 miles S on Breitzman Lake Rd.,46.4578,-92.21369,NA,668,46.457800 N, 92.213690 W,46.4578,-92.21369,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Castle, R.; Johnson, R.","Castle, R.",46.4578,-92.21369,931,1,931,92130815.8,38625.8977,71,70,24615,2,46,15,W
932,SUWS013942,Equisetopsida,Alismatales,Araceae,Calla palustris,2830,L.,Calla,palustris,,,,,"Castle, R.",C,1994-07-12,1994,7,12,193,1994-07-12,,In 12-18 inches of water.,NA,Douglas,Breitzman Lake,46.4578,-92.21369,NA,668,46.457800 N, 92.213690 W,46.4578,-92.21369,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Castle, R.; Johnson, R.","Castle, R.",46.4578,-92.21369,932,1,932,92130815.8,38625.8977,71,70,24615,2,46,15,W
933,SUWS013943,Equisetopsida,Asparagales,Orchidaceae,Platanthera psycodes,4535,(L.) Lindl.,Platanthera,psycodes,,,,,"Castle, R.",94-27,1994-07-12,1994,7,12,193,1994-07-12,,"Roadside. Additional collector(s): Johnson, R.",NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Castle, R.; Davidson, Donald W., Anderson, D.","Castle, R.",46.68122,-92.06631,933,1,933,77718721.67,35378.21444,29,28,24914,2,49,14,W
934,SUWS013949,Equisetopsida,Alismatales,Potamogetonaceae,Potamogeton natans,4626,L.,Potamogeton,natans,,,,,"Castle, R.",94-280,1994-07-23,1994,7,23,204,1994-07-23,,"Growing in shallow, silt water.",NA,Douglas,Superior. Hwy 2 and No. 7 lift station [Superior],46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Castle, R.","Castle, R.",46.68122,-92.06631,934,1,934,77718721.67,35378.21444,29,28,24914,2,49,14,W
935,SUWS013950,Equisetopsida,Asterales,Asteraceae,Xanthium strumarium,5441,L.,Xanthium,strumarium,,,,,"Castle, R.",94-411A,1994-07-31,1994,7,31,212,1994-07-31,,Beach.,NA,Ashland,Ashland. Lake Superior and Hwy. 2 at city park,46.82815,-90.66694,NA,35066,46.828150 N, 90.666940 W,46.82815,-90.66694,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Castle, R.","Castle, R.",46.82815,-90.66694,935,1,935,35516155.35,35384.65456,24,23,25002,2,50,2,W
936,SUWS013951,Equisetopsida,Poales,Cyperaceae,Carex scabrata,3000,Schwein.,Carex,scabrata,,,,,"Davidson, Donald W.",94-370,1994-07-12,1994,7,12,193,1994-07-12,,"Growing in ditch with alder. Additional collector(s): Anderson, D.",NA,Douglas,Superior. Moccasin Mike Rd. [Rd. to Wisconsin Point],46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Davidson, Donald W.; Castle, R., Johnson, Robbye","Davidson, Donald W.",46.67311,-91.97214,936,1,936,92715991.97,38478.30907,42,41,24813,2,48,13,W
937,SUWS013959,Equisetopsida,Caryophyllales,Polygonaceae,Polygonella articulata,4570,(L.) Meisn.,Polygonella,articulata,,,,,"Castle, R.",94-75,1994-06-26,1994,6,26,177,1994-06-26,,"Sandy open area. Pinkish flowers, tiny flowers originating in leaf axils.",NA,Douglas,3 miles N of Lake Nebagamon on CTH H,46.55837,-91.69991,NA,2147,46.558370 N, 91.699910 W,46.55837,-91.69991,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Castle, R.","Castle, R.",46.55837,-91.69991,937,1,937,92916091.48,38592.63057,58,57,24711,2,47,11,W
938,SUWS013961,Equisetopsida,Caryophyllales,Polygonaceae,Rumex acetosella,4916,L.,Rumex,acetosella,,,,,"Castle, R.",94-80B,1994-06-26,1994,6,26,177,1994-06-26,,"Sandy area, full sun. Arrow shaped leaves, spreading from rhizome.",NA,Douglas,2 miles N of Lake Nebagamon on CTH F,46.5439,-91.69991,NA,2660,46.543900 N, 91.699910 W,46.5439,-91.69991,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Castle, R.","Castle, R.",46.5439,-91.69991,938,1,938,92916091.48,38592.63057,58,57,24711,2,47,11,W
939,SUWS013963,Equisetopsida,Asparagales,Asparagaceae,Asparagus officinalis,2649,L.,Asparagus,officinalis,,,,,"Castle, R.",94-55,1994-06-26,1994,6,26,177,1994-06-26,,River bank.,NA,Douglas,Brule. 1 mile W of Brule on Hwy. 2; Rest stop,46.553,-91.57658,NA,4284,46.553000 N, 91.576580 W,46.553,-91.57658,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Castle, R.","Castle, R.",46.553,-91.57658,939,1,939,93017478.21,38599.04619,60,59,24710,2,47,10,W
940,SUWS013965,Equisetopsida,Gentianales,Apocynaceae,Apocynum androsaemifolium,2562,L.,Apocynum,androsaemifolium,,,,,"Castle, R.",94-471,1994-07-12,1994,7,12,193,1994-07-12,,"Hillside, clay soils. Pink and white flowers.",NA,Douglas,Superior. Moccasin Mike Rd [Rd. to Wisconsin Point] and Lake Superior,46.67311,-91.97214,NA,2431,46.673110 N, 91.972140 W,46.67311,-91.97214,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Castle, R.","Castle, R.",46.67311,-91.97214,940,1,940,92715991.97,38478.30907,42,41,24813,2,48,13,W
941,SUWS013970,Equisetopsida,Poales,Cyperaceae,Cyperus esculentus var. leptostachyus,6611,Boeck.,Cyperus,esculentus,leptostachyus,var.,,,"Castle, R.",94-H,1994-08-01,1994,8,1,213,1994-08-01,,Growing in a planted garden.,NA,Douglas,Superior. U.W.S. Campus [University of Wisconsin - Superior],46.71784,-92.08786,NA,699,46.717840 N, 92.087860 W,46.71784,-92.08786,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Castle, R.","Castle, R.",46.71784,-92.08786,941,1,941,77718721.67,35378.21444,29,28,24914,2,49,14,W
942,SUWS013971A,Equisetopsida,Caryophyllales,Polygonaceae,Polygonum amphibium,12303,L.,Polygonum,amphibium,,,,,"Castle, R.",94-30,1994-07-28,1994,7,28,209,1994-07-28,,Edge of wet area.,NA,Burnett,Nemakogon Barrons,46.13674,-92.08016,NA,1500,46.136740 N, 92.080160 W,46.13674,-92.08016,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Castle, R.","Castle, R.",46.13674,-92.08016,942,1,942,93338567.59,38700.95219,156,155,24214,2,42,14,W
943,SUWS013972b,Equisetopsida,Rosales,Rosaceae,Sorbaria sorbifolia,5107,(L.) A.Braun,Sorbaria,sorbifolia,,,,,"Castle, R.",94-81,1994-07-01,1994,7,1,182,1994-07-01,"White flowers in panicles, doubly serrate leaves.","Sloping clay soil. White flowers in panicles, doubly serrate leaves.",NA,Douglas,Superior; Barkers Island,46.718,-92.05575,NA,844,46.718000 N, 92.055750 W,46.718,-92.05575,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Castle, R.","Castle, R.",46.718,-92.05575,943,1,943,55863880.81,35086.16969,36,35,24913,2,49,13,W
944,SUWS013989,Equisetopsida,Asterales,Asteraceae,Grindelia squarrosa,3737,(Pursh) Dunal,Grindelia,squarrosa,,,,,"Castle, R.",94-B,1994-08-16,1994,8,16,228,1994-08-16,,Gravel parking lot.,NA,Douglas,Superior. Near entrance to old Arrowhead Bridge,46.71855,-92.14547,NA,331,46.718550 N, 92.145470 W,46.71855,-92.14547,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Castle, R.","Castle, R.",46.71855,-92.14547,944,1,944,77718721.67,35378.21444,29,28,24914,2,49,14,W
